Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
LBDAPBSI,Apolipoprotein (B) (g/L),ApoB_H,Apolipoprotein B,2013,2014,Laboratory,None
LBXAPB,Apolipoprotein (B) (mg/dL),ApoB_H,Apolipoprotein B,2013,2014,Laboratory,None
SEQN,Respondent sequence number,ApoB_H,Apolipoprotein B,2013,2014,Laboratory,None
WTSAF2YR,Fasting Subsample 2 Year MEC Weight,ApoB_H,Apolipoprotein B,2013,2014,Laboratory,None
LBDBANO,Basophils number (1000 cells/uL),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBDEONO,Eosinophils number (1000 cells/uL),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBDLYMNO,Lymphocyte number (1000 cells/uL),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBDMONO,Monocyte number (1000 cells/uL),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBDNENO,Segmented neutrophils num (1000 cell/uL),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBXBAPCT,Basophils percent (%),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBXEOPCT,Eosinophils percent (%),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBXHCT,Hematocrit (%),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBXHGB,Hemoglobin (g/dL),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBXLYPCT,Lymphocyte percent (%),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBXMC,Mean cell hemoglobin concentration (g/dL),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBXMCHSI,Mean cell hemoglobin (pg),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBXMCVSI,Mean cell volume (fL),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBXMOPCT,Monocyte percent (%),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBXMPSI,Mean platelet volume (fL),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBXNEPCT,Segmented neutrophils percent (%),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBXPLTSI,Platelet count (1000 cells/uL),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBXRBCSI,Red blood cell count (million cells/uL),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBXRDW,Red cell distribution width (%),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBXWBCSI,White blood cell count (1000 cells/uL),CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
SEQN,Respondent sequence number.,CBC_H,Complete Blood Count with 5-part Differential - Whole Blood,2013,2014,Laboratory,None
LBDHDD,Direct HDL-Cholesterol (mg/dL),HDL_H,Cholesterol - HDL,2013,2014,Laboratory,None
LBDHDDSI,Direct HDL-Cholesterol (mmol/L),HDL_H,Cholesterol - HDL,2013,2014,Laboratory,None
SEQN,Respondent sequence number.,HDL_H,Cholesterol - HDL,2013,2014,Laboratory,None
LBDTCSI,Total Cholesterol( mmol/L),TCHOL_H,Cholesterol - Total,2013,2014,Laboratory,None
LBXTC,Total Cholesterol( mg/dL),TCHOL_H,Cholesterol - Total,2013,2014,Laboratory,None
SEQN,Respondent sequence number,TCHOL_H,Cholesterol - Total,2013,2014,Laboratory,None
LBXGH,Glycohemoglobin (%),GHB_H,Glycohemoglobin,2013,2014,Laboratory,None
SEQN,Respondent sequence number.,GHB_H,Glycohemoglobin,2013,2014,Laboratory,None
